           T(s)              1              2              3              4              5              6              7
          0.000  0.1157082E-07  0.2914453E-07  0.1456556E-07  0.1892704E-07  0.3683499E-07  0.6270011E-07  0.2799993E-07
        300.000  0.3483224E-05  0.8768080E-05  0.4400736E-05  0.5703074E-05  0.1107354E-04  0.1884208E-04  0.8426146E-05
        600.000  0.6956714E-05  0.1748797E-04  0.8858656E-05  0.1141326E-04  0.2205076E-04  0.3748933E-04  0.1681638E-04
        900.000  0.1043315E-04  0.2617723E-04  0.1343253E-04  0.1716486E-04  0.3293285E-04  0.5592582E-04  0.2519386E-04
       1200.000  0.1391343E-04  0.3482646E-04  0.1815910E-04  0.2296971E-04  0.4369153E-04  0.7408995E-04  0.3355464E-04
       1500.000  0.1739832E-04  0.4342748E-04  0.2307136E-04  0.2883740E-04  0.5430292E-04  0.9193056E-04  0.4189522E-04
       1800.000  0.2088851E-04  0.5197294E-04  0.2819991E-04  0.3477575E-04  0.6474647E-04  0.1094046E-03  0.5021242E-04
       2100.000  0.2438459E-04  0.6045619E-04  0.3357366E-04  0.4079102E-04  0.7500441E-04  0.1264757E-03  0.5850332E-04
       2400.000  0.2788710E-04  0.6887114E-04  0.3922026E-04  0.4688810E-04  0.8506141E-04  0.1431138E-03  0.6676519E-04
       2700.000  0.3139654E-04  0.7721222E-04  0.4516636E-04  0.5307058E-04  0.9490432E-04  0.1592940E-03  0.7499547E-04
       3000.000  0.3491332E-04  0.8547431E-04  0.5143779E-04  0.5934092E-04  0.1045220E-03  0.1749964E-03  0.8319175E-04
       3300.000  0.3843784E-04  0.9365267E-04  0.5805970E-04  0.6570046E-04  0.1139051E-03  0.1902055E-03  0.9135175E-04
       3600.000  0.4197042E-04  0.1017430E-03  0.6505661E-04  0.7214958E-04  0.1230461E-03  0.2049100E-03  0.9947330E-04
       3900.000  0.4551136E-04  0.1097413E-03  0.7245253E-04  0.7868776E-04  0.1319389E-03  0.2191022E-03  0.1075544E-03
       4200.000  0.4906091E-04  0.1176439E-03  0.8027090E-04  0.8531361E-04  0.1405788E-03  0.2327777E-03  0.1155930E-03
       4500.000  0.5261928E-04  0.1254476E-03  0.8853471E-04  0.9202503E-04  0.1489627E-03  0.2459353E-03  0.1235873E-03
       4800.000  0.5618664E-04  0.1331492E-03  0.9726642E-04  0.9881923E-04  0.1570884E-03  0.2585763E-03  0.1315356E-03
       5100.000  0.5976313E-04  0.1407462E-03  0.1064881E-03  0.1056928E-03  0.1649550E-03  0.2707044E-03  0.1394361E-03
       5400.000  0.6334885E-04  0.1482360E-03  0.1162211E-03  0.1126419E-03  0.1725627E-03  0.2823256E-03  0.1472874E-03
       5700.000  0.6694387E-04  0.1556165E-03  0.1264865E-03  0.1196620E-03  0.1799124E-03  0.2934474E-03  0.1550878E-03
       6000.000  0.7054822E-04  0.1628857E-03  0.1373048E-03  0.1267485E-03  0.1870060E-03  0.3040792E-03  0.1628360E-03
       6300.000  0.7416191E-04  0.1700420E-03  0.1486959E-03  0.1338961E-03  0.1938460E-03  0.3142315E-03  0.1705305E-03
       6600.000  0.7778493E-04  0.1770839E-03  0.1606791E-03  0.1410995E-03  0.2004358E-03  0.3239160E-03  0.1781702E-03
       6900.000  0.8141722E-04  0.1840102E-03  0.1732733E-03  0.1483532E-03  0.2067790E-03  0.3331455E-03  0.1857537E-03
       7200.000  0.8505871E-04  0.1908199E-03  0.1864965E-03  0.1556512E-03  0.2128801E-03  0.3419332E-03  0.1932799E-03
       7500.000  0.8870931E-04  0.1975120E-03  0.2003662E-03  0.1629878E-03  0.2187439E-03  0.3502931E-03  0.2007478E-03
       7800.000  0.9236889E-04  0.2040861E-03  0.2148995E-03  0.1703569E-03  0.2243754E-03  0.3582396E-03  0.2081563E-03
       8100.000  0.9603731E-04  0.2105416E-03  0.2301123E-03  0.1777525E-03  0.2297801E-03  0.3657874E-03  0.2155045E-03
       8400.000  0.9971442E-04  0.2168783E-03  0.2460203E-03  0.1851685E-03  0.2349638E-03  0.3729513E-03  0.2227914E-03
       8700.000  0.1034000E-03  0.2230960E-03  0.2626382E-03  0.1925990E-03  0.2399324E-03  0.3797462E-03  0.2300162E-03
