           T(s)              1              2              3              4              5              6              7
          0.000  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        300.000  0.7866536E-07  0.2420645E-06  0.8503924E-09  0.1610906E-06  0.3108872E-06  0.5169130E-06  0.2703467E-06
        600.000  0.2498568E-06  0.7671149E-06  0.2736644E-08  0.5133804E-06  0.9825870E-06  0.1631508E-05  0.8576249E-06
        900.000  0.4914109E-06  0.1503962E-05  0.5481877E-08  0.1014432E-05  0.1919190E-05  0.3180548E-05  0.1683849E-05
       1200.000  0.7943464E-06  0.2421483E-05  0.9064664E-08  0.1649228E-05  0.3075631E-05  0.5084916E-05  0.2716028E-05
       1500.000  0.1153238E-05  0.3499141E-05  0.1351341E-07  0.2410281E-05  0.4420112E-05  0.7287430E-05  0.3933159E-05
       1800.000  0.1564345E-05  0.4721323E-05  0.1888563E-07  0.3293677E-05  0.5927027E-05  0.9741283E-05  0.5319859E-05
       2100.000  0.2024898E-05  0.6075205E-05  0.2526018E-07  0.4297517E-05  0.7574381E-05  0.1240591E-04  0.6863939E-05
       2400.000  0.2532752E-05  0.7549744E-05  0.3273372E-07  0.5421131E-05  0.9342605E-05  0.1524511E-04  0.8555250E-05
       2700.000  0.3086194E-05  0.9135121E-05  0.4141903E-07  0.6664612E-05  0.1121395E-04  0.1822618E-04  0.1038504E-04
       3000.000  0.3683825E-05  0.1082242E-04  0.5144414E-07  0.8028514E-05  0.1317213E-04  0.2131933E-04  0.1234555E-04
       3300.000  0.4324479E-05  0.1260340E-04  0.6295198E-07  0.9513646E-05  0.1520216E-04  0.2449741E-04  0.1442980E-04
       3600.000  0.5007173E-05  0.1447039E-04  0.7610035E-07  0.1112092E-04  0.1729016E-04  0.2773575E-04  0.1663138E-04
       3900.000  0.5731068E-05  0.1641618E-04  0.9106196E-07  0.1285124E-04  0.1942332E-04  0.3101197E-04  0.1894436E-04
       4200.000  0.6495437E-05  0.1843395E-04  0.1080247E-06  0.1470540E-04  0.2158985E-04  0.3430585E-04  0.2136317E-04
