           T(s)              1              2              3              4              5              6              7
          0.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
        300.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
        600.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
        900.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       1200.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       1500.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       1800.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       2100.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       2400.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       2700.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       3000.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       3300.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       3600.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       3900.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       4200.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       4500.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       4800.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       5100.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       5400.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       5700.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       6000.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
       6300.000  0.1220000E+04  0.1520000E+04  0.1260000E+04  0.1620000E+04  0.1860000E+04  0.1870000E+04  0.2030000E+04
